avg_prediction_words,deletions,exact_match,function_word_error_rate,insertions,non_empty_ratio,prediction_path,prediction_reference_length_ratio,rare_word_error_rate,substitutions,system,utterances,wer,wer_duration_10-15s,wer_duration_5-10s,wer_duration_ge15s,wer_duration_lt5s
20.008015267175573,2187,5,0.3706022944550669,2032,1.0,results/predictions/wav2vec2_discrete_k200_bilstm_ctc_test.jsonl,0.9970518867924528,0.8323788238580807,23435,wav2vec2_discrete_k200_bilstm_ctc,2620,0.525981436396835,0.480323795784243,0.5213367324318333,0.4716032836320992,0.6547395472966294
17.12972542777557,2940,0,0.6051744816951282,1638,1.0,results/predictions/wav2vec2_discrete_k50_bilstm_ctc_dev.jsonl,0.970641953595346,0.950281425891182,27009,wav2vec2_discrete_k50_bilstm_ctc,2513,0.7122370290198201,0.678389198524217,0.6886490053738098,,0.8018468641785302
19.73587786259542,3193,0,0.5890535372848948,2325,1.0,results/predictions/wav2vec2_discrete_k50_bilstm_ctc_test.jsonl,0.9834905660377359,0.9485961726498114,32103,wav2vec2_discrete_k50_bilstm_ctc,2620,0.7155546256847231,0.686863829446181,0.7129239636444248,0.6731445803317139,0.8056736186616585
17.647035415837646,295,1,0.04723285167628077,293,1.0,results/predictions/wav2vec2_finetune_10h_dev.jsonl,0.9999549031545243,0.4371482176360225,6376,wav2vec2_finetune_10h,2513,0.15702721594624455,0.13352696443990894,0.14504572452154238,,0.21027318199307427
0.9984082769598089,41840,0,1.0,0,0.9984082769598089,results/predictions/wav2vec2_finetune_1h_dev.jsonl,0.056573992649214186,1.0,2509,wav2vec2_finetune_1h,2513,1.0,1.0,1.0,,1.0
17.64982093115798,715,13,0.13387400765320692,720,0.9996020692399522,results/predictions/wav2vec2_finetune_1h_repaired_dev.jsonl,1.000112742113689,0.7761100687929956,16382,wav2vec2_finetune_1h_repaired,2513,0.401745247919908,0.39320197817725094,0.3919110021683794,,0.43228164678722586
17.691205730202945,578,14,0.12347935347535553,687,1.0,results/predictions/wav2vec2_finetune_1h_time_mask_dev.jsonl,1.0024577780784234,0.784396497811132,16633,wav2vec2_finetune_1h_time_mask,2513,0.40357167016167217,0.3974409294293116,0.3920995568963892,,0.43449403616775684
20.152290076335877,652,22,0.12418738049713193,875,1.0,results/predictions/wav2vec2_finetune_1h_time_mask_test.jsonl,1.004241479001826,0.7939656376588909,19889,wav2vec2_finetune_1h_time_mask,2620,0.40733414485696895,0.3940049691432235,0.4000775881179339,0.4147260847713185,0.4279924878916675
17.638280939116594,395,292,0.053058427094637046,371,1.0,results/predictions/wav2vec2_finetune_3h_dev.jsonl,0.9994588378542921,0.5056285178236398,6636,wav2vec2_finetune_3h,2513,0.16690342510541387,0.16736007535913336,0.1621099274064297,,0.17612543285879184
20.096183206106872,415,319,0.05630975143403442,491,1.0,results/predictions/wav2vec2_finetune_3h_test.jsonl,1.0014455264759585,0.5039810029333706,8095,wav2vec2_finetune_3h,2620,0.17119978697504565,0.16526408591808928,0.16786743515850144,0.17146925783213268,0.18414549767717703
3.7202546756864305,35000,0,1.001484950596836,0,0.9180262634301631,results/predictions/wav2vec2_frozen_10h_fair_30ep_dev.jsonl,0.2108052041759679,1.0,9319,wav2vec2_frozen_10h_fair_30ep,2513,0.9993235473178651,0.9985085171520528,0.9996228905439803,,0.9997114274721046
0.0,50420,0,1.0,0,0.0,results/predictions/wav2vec2_frozen_10h_v2_dev.jsonl,0.0,1.0,0,wav2vec2_frozen_10h_v2,2642,1.0,1.0,1.0,1.0,1.0
1.0,41836,0,1.0,0,1.0,results/predictions/wav2vec2_frozen_bilstm_10h_dev.jsonl,0.056664186340165505,1.0,2513,wav2vec2_frozen_bilstm_10h,2513,1.0,1.0,1.0,,1.0
1.0,49956,0,1.0,0,1.0,results/predictions/wav2vec2_frozen_bilstm_10h_test.jsonl,0.04983262325015216,1.0,2620,wav2vec2_frozen_bilstm_10h,2620,1.0,1.0,1.0,1.0,1.0
17.53800238758456,1653,5,0.2880804157861671,1377,1.0,results/predictions/wav2vec2_layer12_bilstm_ctc_dev.jsonl,0.9937766353243591,0.8065978736710444,17932,wav2vec2_layer12_bilstm_ctc,2513,0.47266003743038176,0.4299395556951095,0.44711039879324976,,0.5771450557906888
20.02824427480916,1766,3,0.27237093690248565,1664,1.0,results/predictions/wav2vec2_layer12_bilstm_ctc_test.jsonl,0.9980599513085818,0.7897751082553429,20850,wav2vec2_layer12_bilstm_ctc,2620,0.46180766889835667,0.41804921054740724,0.4606517401906451,0.41556374602110907,0.5724028862310961
17.650218861918027,866,76,0.15917528128391112,872,1.0,results/predictions/wav2vec2_layer6_bilstm_ctc_dev.jsonl,1.000135290536427,0.6400875547217011,11129,wav2vec2_layer6_bilstm_ctc,2513,0.29013055536765203,0.24711515817568097,0.2570943716413689,,0.4102539438245479
20.136641221374045,982,72,0.16094646271510515,1164,1.0,results/predictions/wav2vec2_layer6_bilstm_ctc_test.jsonl,1.0034616555082168,0.6384969967872608,13643,wav2vec2_layer6_bilstm_ctc,2620,0.3003081253804017,0.2543880740562635,0.29605409000221683,0.24350812531412297,0.4315508549965405
17.678471945881416,423,171,0.07716031755097379,500,1.0,results/predictions/wav2vec2_layer9_bilstm_ctc_dev.jsonl,1.001736228550813,0.516260162601626,7687,wav2vec2_layer9_bilstm_ctc,2513,0.1941419197727119,0.1557422089645969,0.1629112850004714,,0.3049249711427472
20.151526717557253,477,183,0.08350860420650096,698,1.0,results/predictions/wav2vec2_layer9_bilstm_ctc_test.jsonl,1.004203438831406,0.5190669087861434,9608,wav2vec2_layer9_bilstm_ctc,2620,0.2050935788192331,0.16534423338943657,0.1942473952560408,0.16007706483498074,0.3265790254027874
17.650218861918027,282,618,0.03895139642469587,288,1.0,results/predictions/wav2vec2_masking_finetune_10h_dev.jsonl,1.000135290536427,0.3724202626641651,4299,wav2vec2_masking_finetune_10h,2513,0.10978827031049178,0.10848575241384724,0.10412934854341473,,0.1229318968834167
20.09732824427481,311,608,0.04326003824091778,390,1.0,results/predictions/wav2vec2_masking_finetune_10h_test.jsonl,1.0015025867315885,0.3648554267355776,5268,wav2vec2_masking_finetune_10h,2620,0.11353088861838101,0.10851967620421575,0.11100642872977166,0.10864466409783884,0.12997924285855492
17.73656983684839,330,117,0.053572448455080246,553,1.0,results/predictions/wav2vec2_top3_finetune_10h_dev.jsonl,1.005028298270536,0.590368980612883,8851,wav2vec2_top3_finetune_10h,2513,0.21948634693003224,0.20990658607426016,0.2112284340529839,,0.24807618314736438
20.16412213740458,375,130,0.058460803059273425,629,1.0,results/predictions/wav2vec2_top3_finetune_10h_test.jsonl,1.0048311016433353,0.5872328537505238,10780,wav2vec2_top3_finetune_10h,2620,0.22413268411442483,0.2163981726376533,0.2168033695411217,0.21795945719551013,0.25402787387565484
